No_followers,engagment_rate_avg,Selected,IG_id,Category_name,Locations,Cluster,Selected (1)
continuous,discrete,discrete,string,string,string,discrete,discrete
19300.0,3.98,Yes,@hind_m1_,lifestyle,Riyadh,C1,No
10300.0,3.98,Yes,@ciham_sh,busi,Riyadh,C1,No
24000.0,3.98,Yes,@malshamarii,lifestyle,Caringin,C1,No
48500.0,3.39,Yes,@dreshaa,design,New York City,C1,No
12200.0,3.98,Yes,@pesh_exclusive,model,Dehiwala-Mount Lavinia,C1,No
24200.0,Riyadh,Yes,@nardeenwedding,"""'wed'","design""",C1,No
48500.0,3.39,Yes,@dresha_by_ghada,design,New York City,C1,No
17100.0,3.98,Yes,@a7_zx,lifestyle,Riyadh,C1,No
27200.0,3.39,Yes,@alowais_33,footbal,Riyadh,C1,No
15500.0,Riyadh,Yes,@engzaher1,"""'design'","lifestyle""",C1,No
20400.0,3.98,Yes,@atamimi_,lifestyle,Riyadh,C1,No
51900.0,Riyadh,Yes,@mashari1994,"""'photograph'","lifestyle""",C1,No
24600.0,Neuilly-sur-Seine,Yes,@saudimakeup,"""'makeup'","fashion""",C1,No
34800.0,Zahlé,Yes,@sleimen14,"""'model'","busi""",C1,No
21900.0,3.98,Yes,@_oss1,lifestyle,Riyadh,C1,No
22800.0,3.98,Yes,@_z_albarqi,coffe,Riyadh,C1,No
85000.0,3.05,Yes,@missrumm,lifestyle,Jeddah,C1,No
10600.0,3.98,Yes,@baby_mero86,photograph,New Malden,C1,No
79700.0,Khobar,Yes,@beauty_of_id,"""'lifestyle'","busi""",C1,No
15100.0,3.98,Yes,@food_connoisseur5,food,Riyadh,C1,No
66100.0,3.15,Yes,@rajae_elhadi,Blogger,Dammam,C1,No
15700.0,3.98,Yes,@azzam_alqassem,hors,Mecca,C1,No
13100.0,3.98,Yes,@wissam.aseri,C,Riyadh,C1,No
14200.0,Riyadh,Yes,@belal_3lmkhlef,"""'photograph'","photographi""",C1,No
40100.0,Riyadh,Yes,@nadaalnassar,"""'artist'","busi""",C1,No
11100.0,Riyadh,Yes,@makemyfaceup_,"""'lifestyle'","beauti""",C1,No
11100.0,3.98,Yes,@alanoudsmakeup,makeup,Riyadh,C1,No
54100.0,"beauti""",Yes,@roro_beautytips,"""'blogger'",lifestyle,C1,No
13600.0,3.98,Yes,@fahadol,lifestyle,Manchester,C1,No
16500.0,3.98,Yes,@l_b7h,lifestyle,Riyadh,C1,No
9600.0,4.43,Yes,@talal11tt,photograph,Riyadh,C1,No
2000.0,blogger,Yes,@sparklingrandomness,"""'health'",fit,C1,No
9400.0,4.43,Yes,@woknflame,noodl,Riyadh,C1,No
4400.0,5.12,Yes,@subzerowolfksa,cook,Riyadh,C1,No
4000.0,5.12,Yes,@thepinktarha,lifestyl,Riyadh,C1,No
923000.0,fashion,Yes,@chaoticxx,"""'lifestyl'",beauti,C2,No
2500.0,"karachi""",Yes,@pk_adnan,"""'photographi'",pune,C1,No
213000.0,5.12,Yes,@iqaidi,photograph,Long Island City,C1,No
5100.0,4.43,Yes,@jawaher_bnt_hassan,photograph,Riyadh,C1,No
1500.0,5.12,Yes,@4wheelstation,lifestyl,Riyadh,C1,No
7100.0,Corvallis,Yes,@naderalbasri,"""'bird'","wildlif""",C1,No
1300.0,5.12,Yes,@es.movie,lifestyle,Dubai,C1,No
8500.0,social,Yes,@al_graphy,"""'design'",media,C1,No
4000.0,"beauti""",Yes,@nooodi.1992,"""'blogger'",makeup,C1,No
1100.0,5.12,Yes,@samiryg,brand,Riyadh,C1,No
7600.0,4.43,Yes,@galshabnan,mom,Dubai,C1,No
6900.0,"photographi""",Yes,@hajeralmutib,"""'lifestyle'",fashion,C1,No
3900.0,5.12,Yes,@mohammed_jafal,somalia,Riyadh,C1,No
4700.0,5.12,Yes,@thevenue01,manag,Riyadh,C1,No
9900.0,Amman,Yes,@janaart_,"""'lifestyle'","beauti""",C1,No
8600.0,"lifestyle""",Yes,@yazeedshaarani,"""'film'",photograph,C1,No
7400.0,Dubai,Yes,@nado00od,"""'design'","interior""",C1,No
7300.0,4.43,Yes,@x_beso1,photograph,Sharjah,C1,No
7400.0,4.43,Yes,@i.mfm,photograph,Riyadh,C1,No
3300.0,5.12,Yes,@mhamza22,lifestyle,Riyadh,C1,No
4000.0,5.12,Yes,@bshayeralqunaibet,fashion,Islington,C1,No
4100.0,Riyadh,Yes,@eyeofriyadh,"""'media'","market""",C1,No
6000.0,"photographi""",Yes,@wizrs,"""'photograph'",busi,C1,No
2900.0,brand,Yes,@aaliahgfx,"""'design'",typographi,C1,No
2100.0,Riyadh,Yes,@steakyy,"""'salad'","steak""",C1,No
4200.0,5.12,Yes,@pinkoksa,fashion,Jeddah,C1,No
2600.0,5.12,Yes,@filmatography,photographi,Dubai,C1,No
6200.0,4.43,Yes,@fsriyadh,instagram,Riyadh,C1,No
5700.0,4.43,Yes,@basmah_photography,photograph,Riyadh,C1,No
9300.0,Bayān,Yes,@dahoomy.deaf,"""'C'","lifestyle""",C1,No
1100.0,5.12,Yes,@lambandlu,jewelri,Riyadh,C1,No
2600.0,Bengaluru,Yes,@nabeel_bin_muhammed,"""'blogger'","photograph""",C1,No
1400.0,food,Yes,@gioseppetabs,"""'music'",lifestyle,C1,No
1400.0,Jeddah,Yes,@almaya_sisters,"""'beauti'","fashion""",C1,No
6600.0,4.43,Yes,@wadhav,fashion,Riyadh,C1,No
4700.0,5.12,Yes,@ys00rr,musician,Dammam,C1,No
8500.0,4.43,Yes,@reemalgobaisi,lifestyle,Unaizah,C1,No
9000.0,4.43,Yes,@drmahaa,lifestyle,As Sālimīyah,C1,No
6200.0,Riyadh,Yes,@korestudios,"""'health'","fit""",C1,No
3000.0,5.12,Yes,@maalyha_expo,C,Riyadh,C1,No
9100.0,Dubai,Yes,@rehabmalkii,"""'photograph'","lifestyle""",C1,No
2800.0,Riyadh,Yes,@xxgrafix,"""'design'","brand""",C1,No
3400.0,5.12,Yes,@fahadsaeed3,photographi,Jeddah,C1,No
3300.0,5.12,Yes,@1000klma,design,Riyadh,C1,No
3600.0,5.12,Yes,@3li_percussion,latin,Dubai,C1,No
6400.0,4.43,Yes,@after.twelve,sale,Riyadh,C1,No
